task,test_loss,test_accuracy,test_roc_auc,test_runtime,test_samples_per_second,test_steps_per_second,instance_count
bbq_lite_json,1.098632454872131,0.28217821782178204,0.40768380673563004,9.8096,20.592,2.65,202.0
cause_and_effect,0.6930935382843011,0.48387096774193505,,1.046,29.636,3.824,31.0
common_morpheme,1.386283278465271,0.30000000000000004,0.547619047619047,0.6757000000000001,14.799,2.96,10.0
conceptual_combinations,1.38630199432373,0.33333333333333304,,1.3586,15.457,2.208,21.0
crash_blossom,1.386383295059204,0.0,,0.5164,15.492,1.936,8.0
cryobiology_spanish,0.692939639091491,0.7931034482758621,,0.9888,29.33,4.046,29.0
dark_humor_detection,0.6932080984115601,0.375,0.399999999999999,0.5546,28.851,3.606,16.0
emojis_emotion_prediction,2.0792429447174072,0.5,,0.5158,7.754,1.939,4.0
empirical_judgments,1.098591566085815,0.4,0.618819444444444,0.9933000000000001,20.135,3.02,20.0
entailed_polarity,0.693100214004516,0.533333333333333,,1.0127,29.622,3.95,30.0
fact_checker,0.693144559860229,0.503030303030303,0.530864197530864,5.5521,29.719,3.782,165.0
fantasy_reasoning,0.6931518316268921,0.5,0.39520202020202005,1.3625,29.357,3.67,40.0
figure_of_speech_detection,2.302523851394653,0.16666666666666602,,2.3064999999999998,5.203,0.867,12.0
hinglish_toxicity,0.6931630969047541,0.375,0.42857142857142805,1.3597000000000001,29.419,3.677,40.0
human_organs_senses,1.386302947998046,0.125,0.332738095238095,0.5302,15.088,1.8860000000000001,8.0
implicatures,0.693142473697662,0.561224489795918,0.39477040816326503,3.3162000000000003,29.551,3.92,98.0
implicit_relations,3.218821048736572,0.11764705882352901,,6.6786,2.545,0.449,17.0
intent_recognition,1.945899128913879,0.129496402877697,0.49395600783161203,15.0684,9.225,1.195,139.0
international_phonetic_alphabet_nli,1.098636746406555,0.24,0.469419703103913,1.2623,19.805,3.169,25.0
irony_identification,0.693147182464599,0.55,0.46875000000000006,0.6988000000000001,28.622,4.293,20.0
logical_args,1.609471321105957,0.16666666666666602,,0.4937,12.154,2.026,6.0
mathematical_induction,0.6931717991828911,0.21428571428571402,0.37777777777777705,0.4912,28.503,4.072,14.0
metaphor_boolean,0.693167209625244,0.338235294117647,0.48266178266178206,4.5751,29.726,3.716,136.0
metaphor_understanding,1.386278510093689,0.25531914893617,,3.0175,15.576,1.988,47.0
misconceptions,0.693117141723632,0.636363636363636,0.6336842105263151,1.4997,29.338,4.001,44.0
multiemo,1.386289596557617,0.25252525252525204,0.43308542648694004,12.6973,15.594,1.9689999999999999,198.0
phrase_relatedness,1.386144042015075,0.5,0.69866452991453,1.3033000000000001,15.345,2.302,20.0
riddle_sense,1.60946774482727,0.1,0.37579365079365,0.8230000000000001,12.151,2.43,10.0
salient_translation_error_detection,1.791759371757507,0.16,0.5149379278168811,18.8829,10.592,1.324,200.0
sentence_ambiguity,0.6931347250938411,0.75,0.481481481481481,0.4312,27.828,4.638,12.0
simple_ethical_questions,1.386177778244018,0.347826086956521,,1.4835,15.504,2.022,23.0
sports_understanding,0.693153202533721,0.46192893401015206,0.5020483193277311,6.6082,29.812,3.783,197.0
suicide_risk,1.386308908462524,0.25,0.40714285714285703,0.5366000000000001,14.908,1.8639999999999999,8.0
swahili_english_proverbs,1.386297106742858,0.29032258064516103,,1.9895,15.582,2.011,31.0
swedish_to_german_proverbs,1.3862965106964111,0.14285714285714202,0.43156288156288103,0.9184,15.244,2.178,14.0
temporal_sequences,1.38630735874176,0.25,,12.8811,15.527,1.941,200.0
timedial,1.098590970039367,0.380487804878048,,10.0299,20.439,2.592,205.0
unit_interpretation,1.609449744224548,0.2,0.505069444444444,1.6027,12.479,1.8719999999999999,20.0
winowhy,0.6931549906730651,0.424390243902439,0.568647949024293,6.8922,29.744,3.7720000000000002,205.0
